date;Temperature;Humidity;Light;CO2
2/11/2015 14:48;21.76;31.13333333;437.3333333;1029.666667
2/11/2015 14:49;21.79;31.0;437.3333333;1000.0
2/11/2015 14:50;21.7675;31.1225;434.0;1003.75
2/11/2015 14:51;21.7675;31.1225;439.0;1009.5
2/11/2015 14:53;21.76;31.26;437.3333333;1014.333333
2/11/2015 14:54;21.79;31.1975;434.0;1018.5
2/11/2015 14:55;21.79;31.39333333;437.3333333;1018.666667
2/11/2015 14:57;21.79;31.46333333;437.3333333;1027.333333
2/11/2015 14:58;21.79;31.575;441.75;1049.0
2/11/2015 15:00;21.79;31.395;442.0;1061.5
2/11/2015 15:01;21.79;31.3925;441.75;1049.0
2/11/2015 15:02;21.79;31.5;441.5;1048.0
2/11/2015 15:03;21.815;31.5;438.0;1049.25
2/11/2015 15:04;21.815;31.4725;449.5;1051.25
2/11/2015 15:06;21.79;31.55;449.5;1059.5
2/11/2015 15:07;21.82333333;31.73;447.6666667;1072.0
2/11/2015 15:08;21.865;31.7225;449.5;1072.333333
2/11/2015 15:10;21.89;31.7675;449.5;1087.0
2/11/2015 15:11;21.89;31.79;442.6666667;1086.333333
2/11/2015 15:13;21.89;31.79;437.3333333;1091.0
2/11/2015 15:14;21.89;31.89;439.0;1100.0
2/11/2015 15:15;21.89;31.89;444.0;1101.0
2/11/2015 15:16;21.89;31.865;444.0;1107.0
2/11/2015 15:17;21.89;31.865;444.0;1101.75
2/11/2015 15:19;21.89;31.73;444.0;1100.0
2/11/2015 15:20;21.89;31.7225;444.0;1092.75
2/11/2015 15:21;21.89;31.7;444.0;1092.5
2/11/2015 15:22;21.89;31.695;436.5;1094.0
2/11/2015 15:23;21.89;31.56666667;434.0;1085.666667
2/11/2015 15:24;21.89;31.36;434.0;1031.0
2/11/2015 15:26;21.89;31.125;432.75;977.5
2/11/2015 15:27;21.89;31.15;436.5;961.25
2/11/2015 15:28;21.89;31.06333333;434.0;948.0
2/11/2015 15:29;21.89;30.77;429.0;913.25
2/11/2015 15:30;21.89;30.945;429.0;884.5
2/11/2015 15:32;21.89;30.7925;429.0;899.0
2/11/2015 15:33;21.89;30.77;432.75;888.25
2/11/2015 15:34;21.89;30.795;436.5;878.5
2/11/2015 15:35;21.89;30.8175;429.0;891.25
2/11/2015 15:36;21.89;30.65;436.5;896.5
2/11/2015 15:38;21.89;30.76333333;429.0;887.3333333
2/11/2015 15:39;21.89;30.77;429.0;893.5
2/11/2015 15:40;21.89;30.445;429.0;832.5
2/11/2015 15:42;21.89;30.5;429.0;829.25
2/11/2015 15:43;21.89;30.6;429.0;844.0
2/11/2015 15:45;21.89;30.55;429.0;840.25
2/11/2015 15:46;21.865;30.55;429.0;823.75
2/11/2015 15:47;21.89;30.6;429.0;824.0
2/11/2015 15:48;21.89;30.34;429.0;813.0
2/11/2015 15:49;21.89;30.35666667;429.0;802.0
2/11/2015 15:51;21.89;30.35666667;429.0;805.3333333
2/11/2015 15:52;21.89;30.315;429.0;796.5
2/11/2015 15:53;21.89;30.2;429.0;795.0
2/11/2015 15:55;21.89;30.295;429.0;790.5
2/11/2015 15:56;21.89;30.39;429.0;794.3333333
2/11/2015 15:58;21.89;30.365;429.0;795.5
2/11/2015 15:59;21.89;30.42666667;414.0;792.6666667
2/11/2015 16:00;21.89;30.73;424.0;798.0
2/11/2015 16:01;21.89;30.4175;429.0;795.5
2/11/2015 16:02;21.89;30.39;429.0;798.0
2/11/2015 16:04;21.89;30.445;429.0;802.0
2/11/2015 16:05;21.89;30.35666667;421.5;797.5
2/11/2015 16:06;21.89;30.32333333;429.0;791.5
2/11/2015 16:07;21.89;30.32;418.75;788.25
2/11/2015 16:08;21.89;30.39;429.0;792.25
2/11/2015 16:09;21.89;30.365;429.0;793.5
2/11/2015 16:11;21.89;30.23;429.0;789.3333333
2/11/2015 16:12;21.89;30.2;429.0;786.0
2/11/2015 16:13;21.89;30.0225;429.0;771.75
2/11/2015 16:14;21.89;29.96;429.0;760.0
2/11/2015 16:15;21.89;30.1;429.0;754.0
2/11/2015 16:17;21.89;30.15;416.5;759.0
2/11/2015 16:18;21.89;30.13333333;421.6666667;756.6666667
2/11/2015 16:19;21.89;30.47;438.0;764.25
2/11/2015 16:20;21.89;30.16666667;441.0;768.0
2/11/2015 16:21;21.89;30.075;438.0;770.25
2/11/2015 16:23;21.89;30.175;438.0;767.75
2/11/2015 16:24;21.89;30.295;438.0;777.0
2/11/2015 16:25;21.89;30.2;441.0;775.3333333
2/11/2015 16:27;21.865;30.15;438.0;766.75
2/11/2015 16:28;21.89;30.0725;435.5;774.75
2/11/2015 16:30;21.89;30.03;435.0;766.3333333
2/11/2015 16:31;21.89;29.9175;434.5;752.0
2/11/2015 16:32;21.89;30.1;430.5;754.0
2/11/2015 16:33;21.89;30.1;441.0;755.0
2/11/2015 16:34;21.89;30.075;431.0;763.25
2/11/2015 16:36;21.89;30.23;419.0;769.3333333
2/11/2015 16:37;21.9175;30.5475;395.25;772.25
2/11/2015 16:38;21.96333333;30.79333333;426.6666667;784.6666667
2/11/2015 16:40;22.0;30.175;423.5;794.25
2/11/2015 16:41;21.92666667;30.29;426.6666667;791.3333333
2/11/2015 16:43;21.9725;30.175;428.25;793.25
2/11/2015 16:44;21.89;30.245;433.0;787.5
2/11/2015 16:45;21.92666667;30.35666667;433.0;789.0
2/11/2015 16:46;21.945;30.1725;428.25;782.75
2/11/2015 16:47;21.92666667;30.29;426.6666667;791.0
2/11/2015 16:49;21.9175;30.2925;428.25;786.0
2/11/2015 16:50;21.9175;30.27;433.0;786.5
2/11/2015 16:51;21.92666667;30.19666667;433.0;786.3333333
2/11/2015 16:52;21.89;30.34;428.25;786.3333333
2/11/2015 16:53;21.945;30.34;433.0;787.6666667
2/11/2015 16:54;21.89;30.365;433.0;791.75
2/11/2015 16:56;21.89;30.39;433.0;788.0
2/11/2015 16:57;21.9175;30.4725;433.0;797.75
2/11/2015 16:58;21.9175;30.39;433.0;801.75
2/11/2015 16:59;21.945;30.5;433.0;803.5
2/11/2015 17:00;21.89;30.42666667;433.0;803.6666667
2/11/2015 17:02;21.9725;30.5;433.0;801.5
2/11/2015 17:03;21.945;30.5;433.0;804.0
2/11/2015 17:04;21.9725;30.4175;433.0;807.0
2/11/2015 17:05;21.945;30.3675;433.0;801.75
2/11/2015 17:06;21.9725;30.4725;433.0;796.25
2/11/2015 17:08;21.9725;30.55;433.0;823.75
2/11/2015 17:09;21.89;30.46333333;433.0;818.0
2/11/2015 17:10;21.956;30.458;433.0;807.5
2/11/2015 17:12;21.96333333;30.39;433.0;804.25
2/11/2015 17:13;21.945;30.3975;433.0;805.75
2/11/2015 17:15;21.945;30.3425;433.0;799.25
2/11/2015 17:16;22.0;30.445;433.0;797.0
2/11/2015 17:17;21.9725;30.4175;433.0;798.25
2/11/2015 17:18;22.0;30.2;433.0;784.5
2/11/2015 17:19;21.92666667;30.32666667;423.6666667;780.6666667
2/11/2015 17:21;21.89;30.39;426.0;787.0
2/11/2015 17:22;21.89;30.245;426.0;790.5
2/11/2015 17:23;21.89;30.3175;429.5;782.25
2/11/2015 17:25;21.89;30.2475;422.5;778.0
2/11/2015 17:26;21.89;30.175;419.0;766.25
2/11/2015 17:28;21.89;30.125;419.0;756.25
